	date	hashtags	text	user	verifieduser	registeredon	followersuser	followinguser	tweetsuser	favoritestweetsuser	retweet	quote	reply	likes	language	device	location	latitude	longitude
50	Wed Jul 08 19:55:05 +0000 2020	[]	RT @mikememoli: NEW: Biden-Sanders policy task forces releasing 100+ page product with platform language, policy recommendations for @JoeBi…	lizbrownkaiser	False	Mon May 23 15:42:49 +0000 2016	755	838	2926	2788	0	0	0	0	en	WEB APP	Virginia, USA	37.1232245	-78.4927721
52	Wed Jul 08 19:55:05 +0000 2020	[]	that’s our president. he’s right on it. let’s test it send Baron back to a public school!  let’s see how the teens… https://t.co/HuDQplUeVn	jojo30290878	False	Sat May 09 06:47:57 +0000 2020	185	697	1176	973	0	0	0	0	en	IPHONE	San Jose, CA	37.3361905	-121.8905833
56	Wed Jul 08 19:55:05 +0000 2020	[]	RT @KyleKulinski: Japan has less than 1,000 covid deaths. They never went in to full economic shut down. They have an unemployment rate of…	AmCracken_	False	Fri Feb 04 23:16:25 +0000 2011	115	164	4014	91228	0	0	0	0	en	IPHONE	Minneapolis	44.9772995	-93.2654692
57	Wed Jul 08 19:55:05 +0000 2020	[]	Unemployment rates have spiked around the world owing to the Covid-19 crisis and its economic fallout. In the Unite… https://t.co/ThLWHD30Eo	AlliesInService	False	Mon Nov 14 17:24:57 +0000 2011	1014	811	3083	114	0	0	0	0	en	WEB APP	Dallas, TX	32.7762719	-96.7968559
58	Wed Jul 08 19:55:05 +0000 2020	[]	RT @hyley96: My bf has a friend who scheduled an appointment to get tested for COVID and he missed the appointment, but still got results i…	lyssely	False	Thu Jun 13 15:08:22 +0000 2013	1276	768	18799	10914	0	0	0	0	en	IPHONE	Tampa, FL	27.9477595	-82.458444
59	Wed Jul 08 19:55:05 +0000 2020	[]	RT @itsJeffTiedrich: am I understanding this correctly? covid-19 is so deadly that Paul Manafort and Michael Cohen had to be released from…	WildSoCali	False	Wed Apr 28 18:21:38 +0000 2010	1085	1665	46008	76442	0	0	0	0	en	WEB APP	Beach 	46.9180689	-104.0043728
60	Wed Jul 08 19:55:05 +0000 2020	[]	Our volunteer Sara has been delivering Emergency Food Boxes to those who are unable to leave their homes for grocer… https://t.co/XjsJdIQDIj	tcfoodbank	False	Sat Aug 15 19:37:22 +0000 2009	2129	1289	5130	2470	0	0	0	0	en	WEB APP	Florida	27.7567667	-81.4639835
61	Wed Jul 08 19:55:05 +0000 2020	['schoolsreopening']	"RT @RepublicanSwine: #schoolsreopening 

""First Baptist Church of Dallas, Texas, led by Trump cheerleader Robert Jeffress, was among the me…"	granitevoter	False	Thu Dec 05 18:29:29 +0000 2013	2110	2787	124687	7439	0	0	0	0	en	WEB APP	New Hampshire, USA	43.4849133	-71.6553992
62	Wed Jul 08 19:55:06 +0000 2020	[]	RT @instablog9ja: Breaking: Hushpuppi has tested positive for Covid-19 in prison.	itzyungsid	False	Sat Mar 07 16:03:38 +0000 2020	12	277	63	44	0	0	0	0	en	WEB APP	Lagos, Nigeria	6.4550575	3.3941795
64	Wed Jul 08 19:55:06 +0000 2020	[]	RT @mini_razdan10: Thank you  Momta Didi  for your update on Rohingyas &amp; illegal Bangladeshi’s status in WB. https://t.co/0YhfpUpI9n https:…	BesuraTaansane	False	Sun Jul 19 17:18:55 +0000 2009	19181	1133	207933	72590	0	0	0	0	en	WEB APP	Akhand Bharat	25.8759287	85.0429315
66	Wed Jul 08 19:55:06 +0000 2020	[]	Awesome news!!	stefanwannie	False	Sun Jul 10 05:22:58 +0000 2011	512	627	17186	19510	0	0	0	0	en	IPHONE	Van Wert |Ohio| 🇺🇸	40.8014651	-84.600988
68	Wed Jul 08 19:55:06 +0000 2020	[]	RT @maperezpirela: Robar el oro venezolano en medio de la pandemia de Covid-19 es un delito de lesa humanidad https://t.co/C8fSEjgqbV a tra…	GABRIELTORREALB	False	Mon Aug 23 01:24:18 +0000 2010	1328	1894	25457	5540	0	0	0	0	es	WEB APP	Barinas, Venezuela	8.166667	-69.833333
69	Wed Jul 08 19:55:06 +0000 2020	[]	RT @NesayMarinera: ENFOCADA Y DECIDIDA estaba allá por enero/febrero, y hasta ahora lo único que hice en el 2020 fue subir de peso, gracias…	zulemaparedesc	False	Tue Dec 26 03:55:34 +0000 2017	262	354	3076	8615	0	0	0	0	es	IPHONE	Central, Paraguay	-25.5	-57.5
70	Wed Jul 08 19:55:06 +0000 2020	[]	Great initiative sir🔥	krishpradyumna	False	Sun Sep 10 10:16:59 +0000 2017	56	290	436	779	0	0	0	0	en	WEB APP	Hyderabad	17.3616079	78.4746286
74	Wed Jul 08 19:55:06 +0000 2020	[]	RT @ii_brisa: Medica argentina denuncia que las cifras de COVID estan infladas, por un trasfondo politico economico ??? Pueden ser tan hdp…	graciela2757	False	Tue Mar 08 17:07:10 +0000 2011	1290	2115	71796	49392	0	0	0	0	es	WEB APP	Argentina	-34.9964963	-64.9672817
75	Wed Jul 08 19:55:06 +0000 2020	[]	RT @tweetsfeliphe: Infelizmente o covid-19 mata e ainda não existe cura para a morte.	VictorCamposMAF	False	Tue Jan 23 16:27:31 +0000 2018	16	121	902	1777	0	0	0	0	pt	IPHONE	Jardim Goiás, Goiânia	-16.7024172	-49.2385974
76	Wed Jul 08 19:55:06 +0000 2020	['coronavirus']	RT @jeffmason1: .⁦@realDonaldTrump⁩ says the United States has low mortality rate from #coronavirus compared to rest of the world. (Some 13…	US_Latino	False	Tue Sep 29 07:55:15 +0000 2015	2325	3131	94261	354758	0	0	0	0	en	IPHONE	United States	39.7837304	-100.4458825
77	Wed Jul 08 19:55:06 +0000 2020	[]	RT @jennie_kermode: I see Boris Johnson is repeating the lie that nobody knew Covid-19 could be transmitted asymptomatically. First of all,…	TiredEvi	False	Sat Nov 13 18:16:20 +0000 2010	246	721	18700	14306	0	0	0	0	en	WEB APP	Glasgow, Scotland	55.8609825	-4.2488787
78	Wed Jul 08 19:55:06 +0000 2020	[]	RT @SchrdingerMbiu1: @NathanHRubin I am NOT surprised that the Trump Family, who STOLE MONEY FROM A CHARITY FOR CHILDREN WITH CANCER, are n…	JanieResists	False	Tue Aug 06 02:17:12 +0000 2019	4162	4998	30111	25405	0	0	0	0	en	WEB APP	USA #Resistance	43.0530421	-87.8959931
